HOG	OG	Gene Tree Parent Clade	Af	Aq	Ga	GaY	Gw	GwY
N2.HOG0000000	OG0000000	n1					g20461.t1	
N2.HOG0000001	OG0000000	n6					g14177.t4	
N2.HOG0000002	OG0000000	n17					g8094.t1	
N2.HOG0000003	OG0000000	n21					g5930.t1	
N2.HOG0000004	OG0000000	n24					g14418.t1	
N2.HOG0000005	OG0000000	n30					g14414.t1	
N2.HOG0000006	OG0000000	n33					g273.t1	
N2.HOG0000007	OG0000000	n37					g2202.t1	
N2.HOG0000008	OG0000000	n39					g9605.t1	
N2.HOG0000009	OG0000000	n47					g8096.t1	
N2.HOG0000010	OG0000000	n53					g11933.t1	
N2.HOG0000011	OG0000000	n55					g8482.t2	
N2.HOG0000012	OG0000000	n58					g8365.t1	
N2.HOG0000013	OG0000000	n61					g4321.t1, g116.t1	
N2.HOG0000014	OG0000000	n65					g12844.t2	
N2.HOG0000015	OG0000000	n69					g9297.t1	
N2.HOG0000016	OG0000000	n74					g4589.t1	g22699.t1
N2.HOG0000017	OG0000000	n80					g18539.t1	
N2.HOG0000018	OG0000000	n83					g19776.t1	
N2.HOG0000019	OG0000000	n87					g14544.t1	
N2.HOG0000020	OG0000000	n90					g20295.t5	
N2.HOG0000021	OG0000001	n4					g10432.t1, g10433.t1	
N2.HOG0000022	OG0000001	n10					g10435.t1	
N2.HOG0000023	OG0000001	n21					g21225.t1	
N2.HOG0000024	OG0000001	n24					g3504.t1, g2474.t1	
N2.HOG0000025	OG0000001	n30					g21000.t3	
N2.HOG0000026	OG0000001	n33					g3260.t1, g3261.t1	
N2.HOG0000027	OG0000001	n37					g12909.t1	
N2.HOG0000028	OG0000001	n40					g20995.t2	
N2.HOG0000029	OG0000001	n43					g3361.t1	
N2.HOG0000030	OG0000001	n46					g3552.t1	
N2.HOG0000031	OG0000001	n51					g13880.t2	
N2.HOG0000032	OG0000001	n54					g14027.t1	
N2.HOG0000033	OG0000001	n56					g14028.t1	
N2.HOG0000034	OG0000001	n58					g10245.t1	
N2.HOG0000035	OG0000001	n60					g2496.t1	
N2.HOG0000036	OG0000001	n64					g3049.t1	
N2.HOG0000037	OG0000001	n66					g3050.t2	
N2.HOG0000038	OG0000001	n70					g9008.t1	
N2.HOG0000039	OG0000001	n72					g9007.t2	
N2.HOG0000040	OG0000002	n1					g10360.t1	
N2.HOG0000041	OG0000002	n31					g12204.t1	
N2.HOG0000042	OG0000002	n47					g293.t1, g17253.t1	
N2.HOG0000043	OG0000002	n51					g19087.t1	
N2.HOG0000044	OG0000002	n52					g16673.t1	
N2.HOG0000045	OG0000002	n57					g12199.t1	
N2.HOG0000046	OG0000002	n58					g10453.t1	
N2.HOG0000047	OG0000002	n59					g12188.t1	
N2.HOG0000048	OG0000002	n60					g10470.t1	
N2.HOG0000049	OG0000002	n61					g13975.t1	
N2.HOG0000050	OG0000003	n1					g18828.t1	
N2.HOG0000051	OG0000003	n23					g19138.t1	
N2.HOG0000052	OG0000003	n43					g12190.t1	
N2.HOG0000053	OG0000003	n51					g12197.t1	
N2.HOG0000054	OG0000003	n52					g12182.t1	
N2.HOG0000055	OG0000003	n54					g12194.t1	
N2.HOG0000056	OG0000003	n55					g12206.t1	
N2.HOG0000057	OG0000003	n58					g16447.t1	
N2.HOG0000058	OG0000003	n62					g10306.t1	
N2.HOG0000059	OG0000004	n21					g10457.t1, g10468.t1	
N2.HOG0000060	OG0000004	n23					g10454.t1	
N2.HOG0000061	OG0000004	n26					g12183.t1, g13977.t1, g12203.t1, g14865.t1	
N2.HOG0000062	OG0000004	n45					g12207.t1	
N2.HOG0000063	OG0000004	n52					g10359.t1	
N2.HOG0000064	OG0000004	n54					g12195.t1	
N2.HOG0000065	OG0000004	n55					g12191.t1	
N2.HOG0000066	OG0000004	n58					g12198.t1	
N2.HOG0000067	OG0000005	n36					g12181.t1	
N2.HOG0000068	OG0000005	n38					g12189.t1	
N2.HOG0000069	OG0000005	n42					g13973.t1	
N2.HOG0000070	OG0000005	n46					g12205.t1	
N2.HOG0000071	OG0000006	n7					g15426.t1	
N2.HOG0000072	OG0000006	n11					g21290.t1	
N2.HOG0000073	OG0000006	n14					g11591.t1	
N2.HOG0000074	OG0000006	n20					g15425.t1	
N2.HOG0000075	OG0000006	n23					g21291.t2	
N2.HOG0000076	OG0000006	n26					g11590.t1	
N2.HOG0000077	OG0000006	n31					g15427.t1	
N2.HOG0000078	OG0000006	n33					g21289.t1	
N2.HOG0000079	OG0000006	n36					g12967.t1	
N2.HOG0000080	OG0000006	n39					g11592.t1	
N2.HOG0000081	OG0000006	n43					g9957.t1	
N2.HOG0000082	OG0000006	n45					g1417.t1	
N2.HOG0000083	OG0000006	n47					g4443.t1	
N2.HOG0000084	OG0000006	n49					g7933.t1	
N2.HOG0000085	OG0000007	n1					g4512.t2	g21957.t2
N2.HOG0000086	OG0000007	n6					g14131.t1	
N2.HOG0000087	OG0000007	n10					g6866.t1	
N2.HOG0000088	OG0000007	n12					g9944.t1	
N2.HOG0000089	OG0000007	n16					g9603.t1	
N2.HOG0000090	OG0000007	n21					g4018.t1	g22060.t1
N2.HOG0000091	OG0000007	n24					g4019.t1	g22059.t1
N2.HOG0000092	OG0000007	n29					g1920.t2	
N2.HOG0000093	OG0000007	n33					g7132.t1	
N2.HOG0000094	OG0000007	n36					g9595.t1	
N2.HOG0000095	OG0000007	n41					g3904.t1	g22171.t1
N2.HOG0000096	OG0000007	n45					g9214.t1	
N2.HOG0000097	OG0000007	n49					g14774.t1	
N2.HOG0000098	OG0000007	n51					g13600.t1	
N2.HOG0000099	OG0000008	n1					g4010.t1	g22068.t1
N2.HOG0000100	OG0000008	n9					g3887.t1	
N2.HOG0000101	OG0000008	n12						g22188.t1
N2.HOG0000102	OG0000008	n15						g22187.t1
N2.HOG0000103	OG0000008	n16					g3908.t1	g22170.t1
N2.HOG0000104	OG0000008	n26					g20986.t1, g20987.t1	
N2.HOG0000105	OG0000008	n34					g8063.t1	
N2.HOG0000106	OG0000008	n36					g1412.t1	
N2.HOG0000107	OG0000008	n45					g4651.t1	
N2.HOG0000108	OG0000008	n46					g12660.t1	
N2.HOG0000109	OG0000008	n47					g17632.t2	
N2.HOG0000110	OG0000008	n49					g8062.t1	
N2.HOG0000111	OG0000009	n6					g4495.t1	g21937.t1
N2.HOG0000112	OG0000009	n7					g4496.t1	g21938.t1
N2.HOG0000113	OG0000009	n12					g21383.t1	
N2.HOG0000114	OG0000009	n15					g21266.t1	
N2.HOG0000115	OG0000009	n23					g21265.t1	
N2.HOG0000116	OG0000009	n27					g2431.t1	
N2.HOG0000117	OG0000009	n34					g2169.t1	
N2.HOG0000118	OG0000009	n36					g21264.t1	
N2.HOG0000119	OG0000009	n38					g21263.t1	
N2.HOG0000120	OG0000009	n42					g4497.t1	g21939.t1
N2.HOG0000121	OG0000009	n46					g8705.t1	
N2.HOG0000122	OG0000010	n0					g10471.t1, g10473.t1	
N2.HOG0000123	OG0000014	n1					g9121.t1	
N2.HOG0000124	OG0000014	n7					g11291.t1	
N2.HOG0000125	OG0000014	n9					g16043.t1	
N2.HOG0000126	OG0000014	n11					g9037.t1	
N2.HOG0000127	OG0000014	n15					g9019.t1	
N2.HOG0000128	OG0000014	n18					g9017.t1	
